Date,Hospital,Emergency Cases,Critical Cases,ICU Available,Ventilators Available,Next Emergency,Next Critical,ICU Shortage,Vent Shortage
01-01-2025,Hospital A,42,8,18,9,45,9,0,0
02-01-2025,Hospital A,45,9,17,8,48,10,0,1
03-01-2025,Hospital A,48,10,16,8,51,11,0,1
04-01-2025,Hospital A,51,11,15,7,47,9,0,1
05-01-2025,Hospital A,47,9,16,8,55,12,0,1
06-01-2025,Hospital A,55,12,13,6,58,13,0,1
07-01-2025,Hospital A,58,13,12,6,61,14,1,1
08-01-2025,Hospital A,61,14,11,5,57,12,1,1
09-01-2025,Hospital A,57,12,12,6,64,15,0,1
01-01-2025,Hospital B,35,6,14,7,37,7,0,0
02-01-2025,Hospital B,37,7,13,7,40,7,0,0
03-01-2025,Hospital B,40,7,13,6,43,8,0,1
04-01-2025,Hospital B,43,8,12,6,45,9,0,1
05-01-2025,Hospital B,45,9,11,5,47,10,0,1
06-01-2025,Hospital B,47,10,10,5,50,11,0,1
07-01-2025,Hospital B,50,11,9,4,53,12,1,1
08-01-2025,Hospital B,53,12,8,4,49,10,1,1
09-01-2025,Hospital B,49,10,9,5,56,13,1,1
01-01-2025,Hospital C,28,5,12,6,30,5,0,0
02-01-2025,Hospital C,30,5,12,6,32,6,0,0
03-01-2025,Hospital C,32,6,11,5,35,7,0,1
04-01-2025,Hospital C,35,7,10,5,33,6,0,1
05-01-2025,Hospital C,33,6,11,5,37,8,0,1
06-01-2025,Hospital C,37,8,9,4,40,9,0,1
07-01-2025,Hospital C,40,9,8,4,42,10,1,1
08-01-2025,Hospital C,42,10,7,3,39,8,1,1
09-01-2025,Hospital C,39,8,8,4,44,10,0,1
